control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
Canada_555643475,North America,TMC,100k,Canada_555643475_control,201.685821533203,5,6,26,607.294982910156,24.1793193817139,0,0.0379207246005535,1.47645223140717,119.110260009766,2805.294921875,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Australia_555645281,Oceania,SMD,100k,Australia_555645281_control,123.715354919434,8,12,8,193.440521240234,34.0502090454102,0,0.650405764579773,18.564510345459,59.0803756713867,3250.04833984375,Temperate,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg
Australia_555645297,Oceania,SLD,100k,Australia_555645297_control,93.1962051391602,7,12,4,371.580047607422,39.7474060058594,0,0.00680689187720418,21.6208534240723,20.7545871734619,1103.99255371094,Arid,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg
Australia_555645286,Oceania,SMD,100k,Australia_555645286_control,110.746109008789,8,12,9,262.771087646484,30.6817588806152,0.0060498621314764,0.321917444467545,14.9646530151367,41.289421081543,2871.65844726563,Temperate,"Mediterranean Forests, Woodlands & Scrub",OpenForestOther
United States of America_555651881,North America,THN,100k,United States of America_555651881_control,876.388549804688,24,5,14,43.5931777954102,35.714282989502,0.000102436693850905,0.0516275800764561,20.1105270385742,102.785400390625,3786.45629882813,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Australia_555643861,Oceania,SMD,100k,Australia_555643861_control,220.94157409668,8,7,6,9.3807201385498,38.5871772766113,0.02432044968009,0.00156903173774481,27.0812206268311,32.839038848877,1991.84204101563,Arid,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HerbacousVeg
Albania_555638701,Europe,TMC,over_1000k,Albania_555638701_control,552.787536621094,5,4,26,246.765045166016,27.8023433685303,0.000126757760881446,0.105329051613808,5.47599411010742,72.7428436279297,2558.99096679688,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
Australia_555645290,Oceania,SMD,100k,Australia_555645290_control,100.760787963867,8,12,7,442.090393066406,35.18994140625,0.0340531840920448,0.0798698738217354,16.9967193603516,25.3946666717529,1656.53430175781,Arid,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Haiti_555643717,North America,SMN,over_1000k,Haiti_555643717_control,846.473022460938,20,8,14,384.579284667969,39.1926612854004,0.00307543086819351,0.484755963087082,16.5735664367676,80.2481002807617,2942.07006835938,Temperate,"Temperate Grasslands, Savannas & Shrublands",HerbacousVeg
France_555640684,Europe,SMN,100k,France_555640684_control,1102.720703125,20,12,8,137.509063720703,33.2881507873535,0,0.445404857397079,14.930401802063,78.1958236694336,3038.46020507813,Temperate,"Mediterranean Forests, Woodlands & Scrub",OpenForestOther
